Financial Wellness Survey Export -- Platform v2 -- Generated 2022
respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,twoweek_pay_delay_impact,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0250,2022,50-65,British Columbia,"$100,000",16.5,Yes,no,No,no,No,Very manageable,No,Very manageable,Comfortable
2022-0251,2022,40-50,ontario ,79700,20.6,N,No,no,N,Yes,Very manageable,No,Very difficult,Comfortable
2022-0252,2022,30-40,Alberta,"107,100",5.8,No,Yes,No,No,No,Somewhat difficult,N,Manageable,Coping
2022-0253,2022,18-30,British Columbia,30000,22.8,No,Y,No,No,No,Very manageable,No,Manageable,Comfortable
2022-0254,2022,50-65,Alberta,"174,900",5.0,No,No,No,Yes,No,Difficult,No,Very difficult,Stressed
2022-0255,2022,30-40,Ontario,85700,8.1,N,Yes,No,No,No,Somewhat difficult,No,Manageable,Coping
2022-0256,2022,18-30,ON,"$30,000",2.0,No,No,Yes,N,No,Difficult,Yes,Neither,Stressed
2022-0257,2022,18-30,Ontario,129700,4.8,No,No,No,No,yes,Difficult,N,Difficult,Stressed
2022-0258,2022,18-30,Alberta,30000,22.2,No,No,No,No,Yes,Somewhat manageable,No,Difficult,Coping
2022-0259,2022,30-40,New Brunswick,NA,10.6,No,No,No,No,yes,Neither,No,Difficult,Coping
2022-0260,2022,40-50,Saskatchewan,"64,400",4.1,No,N,No,No,Yes,Manageable,No,Neither,Coping
2022-0261,2022,30-40,Alberta,188200,16.5,No,No,Yes,No,No,Somewhat difficult,N,Difficult,Coping
2022-0262,2022,40-50,New Brunswick,"$69,200",NA,No,No,no,No,Yes,Difficult,Y,Difficult,Stressed
2022-0263,2022,40-50,Alberta,30K,7.4,No,No,Yes,no,No,Difficult,No,Manageable,Stressed
2022-0264,2022,50-65,Alberta,"$80,400",7.4,NA,NA,NA,NA,NA,Difficult,No,Manageable,Coping
2022-0265,2022,30-40,Nova Scotia,106800,18.7,No,No,Yes,No,N,Very manageable,Y,Manageable,Coping
2022-0266,2022,65+,Alberta,"$174,200",3.0,yes,No,No,No,N,Somewhat difficult,No,Manageable,Stressed
2022-0267,2022,30-40,Ontario,193K,19.4,Y,No,N,No,No,Somewhat manageable,No,Very difficult,Coping
2022-0268,2022,18-30,Quebec,143800,4.7,No,No,No,N,Y,Somewhat manageable,No,Difficult,Coping
2022-0269,2022,18-30,British Columbia,81400,9.2,Yes,No,No,no,No,Somewhat difficult,NA,Manageable,Coping
2022-0270,2022,30-40,Alberta,40900,27.8,No,N,No,No,Yes,Neither,No,Manageable,Comfortable
2022-0271,2022,18-30,Ontario,139700,12.0,no,No,No,No,Yes,Neither,N,Difficult,Coping
2022-0273,2022,18-30,Quebec,"$30,000",9.4,NA,NA,NA,NA,NA,Somewhat difficult,No,Very difficult,Coping
2022-0274,2022,40-50,british columbia,72100,12.5,No,Yes,No,No,N,Very difficult,NA,Neither,Coping
2022-0275,2022,18-30,Ontario,30000,15.5,N,No,No,No,Yes,Somewhat difficult,no,Difficult,Stressed
2022-0276,2022,30-40,Quebec,"$59,200",0.0,No,no,No,N,Yes,Difficult,No,Neither,Stressed
2022-0277,2022,40-50,Alberta,"$88,800",6.5,no,No,No,Y,N,Manageable,No,Neither,Comfortable
2022-0278,2022,65+,Ontario,"168,500",2.0,NA,NA,NA,NA,NA,Very difficult,No,Very difficult,Stressed
2022-0279,2022,18-30,Ontario,51100,15.9,no,Y,No,No,No,Neither,No,Manageable,Coping
2022-0280,2022,30-40,Ontario,30000,1.3,N,No,No,Yes,No,NA,Yes,Manageable,Coping
2022-0281,2022,30-40,Alberta,30000,14.6,Yes,no,No,No,No,Manageable,No,Neither,Coping
2022-0282,2022,18-30,New Brunswick,85500,21.7,No,Yes,N,No,No,NA,Yes,Very difficult,Comfortable
2022-0283,2022,30-40,Alberta,"80,100",23.1,NA,NA,NA,NA,NA,Very difficult,Yes,Neither,Coping
2022-0284,2022,40-50,Saskatchewan,"$77,300",11.2,no,N,No,Yes,N,Neither,Yes,Difficult,Stressed
2022-0285,2022,30-40,Alberta,"$57,600",20.5,No,N,Y,No,No,Very manageable,NA,Difficult,Comfortable
2022-0286,2022,65+,Alberta,149900,19.2,N,No,No,Yes,No,Somewhat manageable,Yes,Difficult,Coping
2022-0287,2022,40-50,Quebec,167000,14.2,No,no,No,No,Y,Very manageable,No,Difficult,Coping
2022-0288,2022,18-30,British Columbia,"33,000",8.2,N,No,No,No,Y,Manageable,No,Difficult,Coping
2022-0289,2022,30-40,Ontario,"$88,400",4.1,Y,No,N,N,no,NA,Yes,Difficult,Coping
2022-0290,2022,18-30,BC,"$122,900",7.6,N,no,N,N,Yes,Neither,no,Manageable,Coping
2022-0292,2022,18-30,Alberta,"$59,200",12.1,No,No,N,No,yes,NA,NA,Neither,Coping
2022-0293,2022,18-30,Nova Scotia,"$64,100",0.0,NA,NA,NA,NA,NA,Very manageable,No,Difficult,Coping
2022-0294,2022,30-40,Ontario,"30,000",4.9,No,No,No,No,Yes,NA,Yes,Manageable,Stressed
2022-0295,2022,40-50,British Columbia,"110,400",6.1,No,Yes,No,No,No,Difficult,Yes,Very difficult,Stressed
2022-0296,2022,50-65,British Columbia,114100,NA,No,No,No,yes,No,Very manageable,No,Difficult,Coping
2022-0297,2022,50-65,Alberta,"143,300",20.8,Yes,N,No,No,No,Somewhat manageable,Yes,Neither,Coping
2022-0298,2022,40-50,Ontario,39700,12.1,No,Yes,No,No,no,Somewhat difficult,NA,Manageable,Coping
2022-0299,2022,30-40,Alberta,89K,11.6,No,No,No,No,Yes,Very manageable,Yes,Manageable,Comfortable
2022-0300,2022,40-50,British Columbia,"$174,100",0.0,Yes,No,No,No,No,Difficult,No,Difficult,Stressed
2022-0301,2022,18-30,British Columbia,172900,15.1,No,No,No,No,Yes,Neither,No,Difficult,Coping
2022-0302,2022,18-30,Nova Scotia,121000,11.9,No,no,No,No,Yes,Manageable,NA,Neither,Comfortable
2022-0303,2022,40-50,ON,"$38,600",24.1,no,No,No,No,Yes,Very manageable,NA,Manageable,Comfortable
2022-0304,2022,18-30,New Brunswick,94600,27.8,No,No,No,No,Yes,Somewhat manageable,No,Neither,Comfortable
2022-0305,2022,30-40,Quebec,"$64,300",7.2,No,No,N,No,Yes,Somewhat manageable,No,Neither,Comfortable
2022-0306,2022,40-50,Ontario,106K,8.8,no,No,No,No,Yes,Somewhat difficult,no,Very difficult,Stressed
2022-0307,2022,40-50,Ontario,"55,900",18.8,Yes,No,no,No,No,Manageable,Yes,Very manageable,Coping
2022-0308,2022,50-65,Ontario,30000,25.1,NA,NA,NA,NA,NA,Somewhat difficult,No,Difficult,Comfortable
2022-0309,2022,40-50,Alberta,"87,800",0.0,no,No,N,No,Yes,Somewhat difficult,Yes,Difficult,Coping
2022-0310,2022,40-50,Saskatchewan,129100,1.7,No,Yes,no,No,No,Somewhat manageable,N,Manageable,Stressed
2022-0311,2022,30-40,Ontario,"96,900",9.0,no,Yes,no,No,No,Very manageable,No,Manageable,Comfortable
2022-0312,2022,40-50,ontario ,NA,8.6,N,Yes,no,No,No,Difficult,No,Difficult,Stressed
2022-0313,2022,30-40,Alberta,90300,13.5,No,No,N,N,Yes,Neither,N,Manageable,Coping
2022-0314,2022,30-40,Alberta,107200,0.0,N,No,yes,no,No,Somewhat difficult,Yes,Very difficult,Stressed
2022-0315,2022,65+,Ontario,"161,500",9.2,No,No,No,Y,No,Somewhat manageable,No,NA,Coping
2022-0316,2022,40-50,New Brunswick,79300,15.8,No,No,no,No,Yes,Neither,No,Difficult,Coping
2022-0317,2022,40-50,Ontario,"101,600",11.9,No,No,No,No,Y,Somewhat manageable,Yes,Very manageable,Coping
2022-0318,2022,30-40,Manitoba,"165,200",19.0,No,Yes,No,No,no,Somewhat difficult,Yes,Difficult,Comfortable
2022-0319,2022,50-65,Ontario,115100,8.8,No,N,No,No,Y,Manageable,No,Neither,Coping
2022-0320,2022,40-50,Alberta,"105,600",4.6,No,No,No,no,Yes,Difficult,No,Neither,Coping
2022-0321,2022,40-50,Alberta,"108,600",17.9,No,Y,No,No,No,Very manageable,No,Difficult,Comfortable
2022-0322,2022,40-50,Alberta,83600,18.4,No,Yes,No,no,N,Difficult,No,Neither,Comfortable
2022-0323,2022,50-65,Ontario,86200,9.1,Yes,N,No,no,No,Very difficult,yes,Neither,Stressed
2022-0324,2022,50-65,Ontario,"$122,900",9.5,N,No,No,No,Yes,Difficult,Yes,Difficult,Stressed
2022-0325,2022,40-50,Saskatchewan,"$69,200",11.5,No,No,Yes,No,No,Somewhat difficult,No,Very manageable,Coping
2022-0326,2022,30-40,ON,"81,200",25.7,Yes,N,N,No,No,Somewhat manageable,No,Neither,Comfortable
2022-0327,2022,50-65,Ontario,67000,8.8,Yes,No,No,No,N,Somewhat manageable,Yes,Neither,Coping
2022-0328,2022,18-30,Ontario,"$78,900",0.0,Yes,No,No,No,no,Somewhat manageable,No,Difficult,Stressed
2022-0329,2022,30-40,Ontario,"$105,700",13.9,No,N,N,Yes,No,NA,No,Neither,Coping
2022-0330,2022,30-40,Saskatchewan,77900,11.8,No,N,No,no,Yes,Neither,No,Manageable,Coping
2022-0331,2022,18-30,Ontario,"$30,000",14.0,No,No,No,Y,No,Somewhat difficult,No,Manageable,Coping
2022-0332,2022,40-50,Alberta,134K,9.1,N,no,N,No,Yes,Very manageable,No,Manageable,Comfortable
2022-0333,2022,18-30,ON,78000,30.0,Yes,N,No,No,N,Somewhat difficult,No,Manageable,Comfortable
2022-0334,2022,30-40,Alberta,31300,15.3,N,No,No,yes,No,Somewhat difficult,No,Neither,Coping
2022-0335,2022,30-40,Alberta,"$124,200",9.3,No,No,N,N,Yes,Difficult,no,Neither,Coping
2022-0336,2022,30-40,Ontario,"30,000",5.4,no,No,No,No,Yes,Somewhat difficult,N,Difficult,Coping
2022-0337,2022,30-40,Ontario,136300,17.5,No,N,No,no,Yes,Neither,No,Difficult,Coping
2022-0338,2022,30-40,Alberta,86K,4.4,No,No,yes,No,No,Difficult,Yes,Neither,Coping
2022-0339,2022,30-40,Alberta,NA,24.6,no,No,No,Yes,No,Difficult,No,Manageable,Coping
2022-0340,2022,30-40,quebec,"$91,400",7.3,No,N,No,No,Yes,NA,No,Very difficult,Coping
2022-0341,2022,30-40,Alberta,"$56,200",21.3,NA,NA,NA,NA,NA,Difficult,No,Neither,Coping
2022-0342,2022,50-65,Alberta,"$81,700",5.1,No,No,No,No,Yes,Somewhat difficult,No,Difficult,Stressed
2022-0343,2022,18-30,Ontario,30000,20.5,No,No,Yes,No,No,Neither,No,Neither,Coping
2022-0344,2022,30-40,Ontario,80600,6.6,Yes,No,No,No,No,Manageable,NA,Manageable,Coping
2022-0345,2022,30-40,Ontario,56700,11.1,No,No,N,no,Yes,Somewhat manageable,No,Manageable,Coping
2022-0346,2022,40-50,Ontario,30K,15.8,NA,NA,NA,NA,NA,NA,Yes,Manageable,Coping
2022-0347,2022,18-30,British Columbia,"$128,100",9.3,No,No,No,N,yes,Somewhat manageable,No,Neither,Stressed
2022-0348,2022,30-40,british columbia,68800,25.7,no,No,No,No,yes,Somewhat manageable,No,Difficult,Comfortable
2022-0349,2022,30-40,Ontario,51900,14.6,N,No,Yes,N,N,Somewhat manageable,NA,Manageable,Comfortable
2022-0350,2022,50-65,Ontario,53100,11.5,N,No,No,Yes,No,NA,No,Difficult,Coping
2022-0351,2022,40-50,British Columbia,"$134,500",18.5,NA,NA,NA,NA,NA,Somewhat manageable,N,Manageable,Coping
2022-0352,2022,18-30,British Columbia,30000,6.8,No,Yes,No,N,No,Somewhat difficult,no,Manageable,Coping
2022-0353,2022,30-40,British Columbia,"$87,700",14.4,No,No,No,Yes,No,Neither,No,Difficult,Coping
2022-0354,2022,50-65,Alberta,"$77,300",16.5,No,N,No,No,Y,Neither,N,Neither,Comfortable
2022-0355,2022,18-30,British Columbia,"$42,700",7.0,Yes,no,No,No,N,Somewhat difficult,No,Difficult,Stressed
2022-0356,2022,30-40,Alberta,33300,6.4,No,No,No,No,yes,NA,yes,Manageable,Stressed
2022-0357,2022,30-40,Ontario,59000,6.3,No,no,N,Yes,no,Neither,Yes,Difficult,Coping
2022-0358,2022,30-40,British Columbia,"$82,900",4.7,N,No,N,No,Yes,Very manageable,no,Difficult,Stressed
2022-0359,2022,65+,ON,147K,11.9,N,No,Yes,No,No,Somewhat difficult,No,Difficult,Coping
2022-0360,2022,30-40,Ontario,43200,17.3,No,No,No,No,Yes,Very manageable,No,Manageable,Comfortable
2022-0361,2022,40-50,Ontario,"$93,000",13.9,No,No,No,No,Yes,Somewhat manageable,Y,Neither,Stressed
2022-0362,2022,30-40,Saskatchewan,"$120,900",17.1,Yes,no,No,no,No,Somewhat manageable,yes,Difficult,Coping
2022-0363,2022,40-50,Manitoba,30000,12.7,No,N,No,No,Y,Difficult,No,Manageable,Coping
2022-0364,2022,40-50,Alberta,"$104,700",12.7,No,No,No,No,Yes,Somewhat manageable,Yes,Difficult,Comfortable
2022-0365,2022,30-40,ON,32000,6.1,NA,NA,NA,NA,NA,NA,No,Manageable,Coping
2022-0366,2022,30-40,Alberta,35900,15.9,NA,NA,NA,NA,NA,Somewhat difficult,Y,Difficult,Stressed
2022-0367,2022,18-30,British Columbia,86600,4.9,No,No,No,no,yes,Very manageable,no,Neither,Coping
2022-0368,2022,18-30,Alberta,41700,11.7,No,No,N,No,Yes,Neither,No,Difficult,Coping
2022-0369,2022,50-65,Quebec,"47,200",20.5,NA,NA,NA,NA,NA,Neither,Yes,Manageable,Comfortable
2022-0370,2022,30-40,Alberta,"$145,700",9.1,N,No,No,No,Yes,Somewhat difficult,No,Difficult,Coping
2022-0371,2022,18-30,Ontario,103000,1.0,No,N,No,No,Yes,Somewhat difficult,No,Difficult,Stressed
2022-0372,2022,50-65,New Brunswick,"30,000",12.5,Yes,No,No,no,No,Manageable,No,Very difficult,Comfortable
2022-0373,2022,18-30,Ontario,"$30,000",7.7,yes,no,N,No,No,Somewhat difficult,No,Difficult,Coping
2022-0374,2022,30-40,British Columbia,"$115,200",2.5,No,No,No,No,Yes,Neither,No,Manageable,Stressed
2022-0375,2022,50-65,Quebec,105800,19.0,yes,No,No,N,No,Difficult,No,Neither,Coping
2022-0376,2022,30-40,Ontario,162000,17.9,No,N,Y,No,No,Manageable,Yes,Manageable,Comfortable
2022-0377,2022,30-40,New Brunswick,"$117,800",7.9,No,Yes,no,No,no,Neither,No,Neither,Coping
2022-0378,2022,18-30,British Columbia,82K,6.5,No,N,N,N,yes,NA,Yes,Difficult,Stressed
2022-0379,2022,18-30,Ontario,"$30,000",15.0,NA,NA,NA,NA,NA,Somewhat manageable,No,Manageable,Coping
2022-0380,2022,30-40,Ontario,"$111,600",4.3,No,No,No,No,Yes,Somewhat difficult,No,Difficult,Stressed
2022-0381,2022,40-50,Manitoba,32200,16.4,NA,NA,NA,NA,NA,Neither,Yes,Very manageable,Coping
2022-0382,2022,40-50,British Columbia,161300,3.4,no,no,No,No,Yes,Somewhat manageable,Yes,Manageable,Coping
2022-0383,2022,30-40,Alberta,102100,11.9,N,Y,N,No,No,Somewhat difficult,Yes,Difficult,Stressed
2022-0384,2022,30-40,Alberta,"48,800",10.9,No,Yes,No,No,No,Somewhat difficult,Yes,Difficult,Coping
2022-0385,2022,18-30,AB,97K,17.7,N,Y,no,No,No,Very manageable,No,Manageable,Comfortable
2022-0386,2022,40-50,Alberta,"$211,100",2.5,Yes,No,No,No,No,Somewhat manageable,Yes,Neither,Stressed
2022-0387,2022,40-50,Alberta,"$82,100",9.4,No,No,no,N,Yes,Somewhat difficult,No,Difficult,Comfortable
2022-0388,2022,50-65,Ontario,153500,1.0,Yes,No,No,No,No,NA,No,Difficult,Coping
2022-0389,2022,30-40,Ontario,68400,6.4,No,No,No,No,Yes,Somewhat manageable,No,Difficult,Coping
2022-0390,2022,18-30,ON,78K,8.9,No,No,N,No,Yes,Very difficult,Y,Neither,Stressed
2022-0391,2022,30-40,Ontario,30000,1.2,N,No,yes,No,no,Somewhat difficult,No,Neither,Stressed
2022-0392,2022,30-40,Ontario,84000,0.0,NA,NA,NA,NA,NA,Very difficult,No,Difficult,Stressed
2022-0393,2022,40-50,Alberta,"$99,700",5.5,NA,NA,NA,NA,NA,Neither,No,Neither,Coping
2022-0394,2022,30-40,Ontario,179900,15.3,No,No,No,no,Yes,Very manageable,Yes,Manageable,Comfortable
2022-0395,2022,18-30,British Columbia,"30,000",15.6,N,No,No,No,Yes,Somewhat manageable,No,Very manageable,Comfortable
2022-0396,2022,18-30,Ontario,"46,000",5.4,NA,NA,NA,NA,NA,NA,No,NA,Stressed
2022-0397,2022,40-50,Saskatchewan,"$158,900",11.2,NA,NA,NA,NA,NA,Difficult,yes,Difficult,Stressed
2022-0398,2022,50-65,Quebec,103400,12.2,No,no,No,No,yes,Somewhat difficult,No,Difficult,Stressed
2022-0399,2022,40-50,British Columbia,NA,30.0,Yes,No,No,N,No,Very manageable,N,Manageable,Comfortable
2022-0400,2022,40-50,Ontario,63300,0.0,No,No,Yes,No,No,Difficult,No,Difficult,Stressed
2022-0401,2022,50-65,alberta,"61,400",1.7,N,Yes,No,No,No,Somewhat difficult,Yes,Difficult,Stressed
2022-0402,2022,40-50,Alberta,"30,000",15.2,yes,No,No,No,N,Neither,N,Manageable,Coping
2022-0403,2022,18-30,Alberta,"$43,500",8.3,yes,no,No,No,No,NA,Yes,Neither,Coping
2022-0404,2022,40-50,Alberta,"$43,500",10.3,Yes,No,No,No,No,Somewhat difficult,N,Difficult,Stressed
2022-0405,2022,50-65,Ontario,"$116,900",12.2,Yes,No,No,No,N,Somewhat manageable,Y,Difficult,Coping
2022-0406,2022,40-50,Manitoba,NA,13.9,Yes,No,No,No,No,Difficult,No,Difficult,Stressed
2022-0407,2022,40-50,Alberta,80K,11.2,No,No,No,Yes,No,Somewhat difficult,No,Difficult,Stressed
2022-0408,2022,30-40,Yukon,58400,11.3,NA,NA,NA,NA,NA,Somewhat difficult,N,Difficult,Stressed
2022-0409,2022,30-40,Ontario,84600,8.5,No,No,No,No,Yes,NA,N,Difficult,Coping
2022-0410,2022,30-40,Manitoba,62100,17.3,No,No,No,No,Yes,Manageable,Yes,Difficult,Comfortable
2022-0411,2022,30-40,Ontario,"35,400",9.2,Yes,no,no,No,No,Manageable,Y,Manageable,Coping
2022-0412,2022,50-65,Ontario,"$115,300",7.5,N,N,No,No,Yes,Somewhat manageable,No,Very manageable,Comfortable
2022-0413,2022,18-30,Ontario,"$110,400",19.8,no,Yes,No,No,no,Difficult,No,Very difficult,Coping
2022-0414,2022,30-40,Ontario,"$96,400",15.5,No,N,Yes,No,No,Very manageable,Yes,Manageable,Coping
2022-0415,2022,30-40,Quebec,58000,NA,No,No,no,Yes,No,Somewhat difficult,No,Difficult,Comfortable
2022-0416,2022,18-30,British Columbia,59800,18.8,N,N,No,No,Y,Manageable,No,Manageable,Coping
2022-0417,2022,40-50,Ontario,30000,13.6,NA,NA,NA,NA,NA,Manageable,Yes,Very manageable,Comfortable
2022-0418,2022,30-40,Alberta,69500,0.0,No,No,No,No,Y,Manageable,N,Neither,Coping
2022-0419,2022,30-40,Ontario,64K,17.0,N,No,N,No,Yes,Neither,No,Neither,Coping
2022-0420,2022,50-65,British Columbia,"$76,300",0.0,No,No,Yes,No,No,Neither,No,Difficult,Stressed
2022-0421,2022,50-65,British Columbia,"$70,400",9.8,No,No,No,Yes,No,Somewhat manageable,Yes,NA,Coping
2022-0422,2022,40-50,Yukon,"80,000",NA,No,Y,N,No,No,Neither,No,Neither,Coping
2022-0423,2022,40-50,Ontario,"147,100",20.7,No,Y,N,No,No,Somewhat manageable,No,Difficult,Comfortable
2022-0424,2022,30-40,AB,141600,23.9,NA,NA,NA,NA,NA,Very difficult,Y,Manageable,Comfortable
2022-0425,2022,50-65,british columbia,"79,600",14.5,NA,NA,NA,NA,NA,Somewhat difficult,No,Neither,Coping
2022-0426,2022,40-50,British Columbia,"$79,100",21.8,yes,No,No,No,No,Very manageable,No,Difficult,Comfortable
2022-0427,2022,30-40,Yukon,"$51,900",12.5,No,Yes,No,No,No,Somewhat manageable,No,Manageable,Comfortable
2022-0429,2022,40-50,British Columbia,107800,0.0,No,No,N,Yes,N,Somewhat difficult,No,Difficult,Stressed
2022-0430,2022,30-40,Ontario,93100,13.8,No,yes,No,No,N,Difficult,Yes,Difficult,Stressed
2022-0431,2022,18-30,Manitoba,"$91,300",0.0,No,No,N,No,Yes,Very manageable,yes,Manageable,Stressed
2022-0432,2022,40-50,Alberta,"$67,700",4.3,Yes,No,No,No,No,Very difficult,Yes,Very difficult,Stressed
2022-0433,2022,30-40,ON,154K,8.8,Y,No,No,No,N,Manageable,no,NA,Comfortable
2022-0434,2022,40-50,Alberta,"$98,900",2.3,No,No,Yes,No,No,Somewhat difficult,yes,Difficult,Stressed
2022-0435,2022,40-50,quebec,54700,11.1,no,no,N,No,Yes,Difficult,No,Difficult,Coping
2022-0436,2022,30-40,ontario ,68000,7.8,No,no,Yes,No,N,Somewhat difficult,No,Very manageable,Coping
2022-0437,2022,40-50,Alberta,164K,17.9,No,N,N,Yes,No,Somewhat manageable,Yes,Neither,Coping
2022-0438,2022,30-40,Ontario,59700,7.1,No,No,No,No,Yes,Very difficult,No,Difficult,Stressed
2022-0439,2022,30-40,ontario ,"$130,000",8.2,No,No,No,no,Yes,Manageable,No,Difficult,Coping
2022-0440,2022,30-40,Ontario,49700,10.2,No,No,Yes,No,No,Somewhat manageable,Y,Very manageable,Coping
2022-0441,2022,50-65,Ontario,"$72,700",18.3,No,No,No,No,Yes,Difficult,No,Manageable,Coping
2022-0442,2022,30-40,AB,"$118,500",10.5,no,No,yes,No,No,Difficult,No,Very difficult,Stressed
2022-0443,2022,50-65,Alberta,70K,4.2,No,No,No,Yes,No,Difficult,No,Neither,Coping
2022-0444,2022,50-65,ontario ,162600,2.6,No,Yes,No,No,No,Neither,N,Difficult,Stressed
2022-0445,2022,30-40,Alberta,"$94,100",13.8,No,N,No,No,Y,NA,No,Manageable,Coping
2022-0446,2022,18-30,british columbia,"$30,000",13.1,NA,NA,NA,NA,NA,Very difficult,No,Neither,Coping
2022-0447,2022,50-65,Ontario,106K,0.7,N,No,N,no,Yes,Somewhat difficult,Yes,Very difficult,Stressed
2022-0448,2022,30-40,Alberta,57K,23.2,No,No,No,No,Yes,Manageable,No,Manageable,Comfortable
2022-0449,2022,18-30,Ontario,"$92,400",1.5,No,Yes,No,N,No,Somewhat difficult,No,Manageable,Stressed
2022-0450,2022,30-40,Ontario,"$173,900",27.1,No,No,No,No,Yes,Difficult,No,Neither,Comfortable
2022-0451,2022,30-40,Ontario,"$64,000",21.7,No,Yes,No,No,No,Difficult,NA,Difficult,Comfortable
2022-0452,2022,50-65,Alberta,"140,700",4.2,Y,No,No,N,N,Somewhat difficult,Yes,Very manageable,Coping
2022-0453,2022,40-50,New Brunswick,"$94,200",7.8,No,No,No,No,yes,Somewhat manageable,N,Difficult,Coping
2022-0454,2022,50-65,Ontario,"113,700",3.3,No,No,no,No,Yes,Somewhat difficult,N,Difficult,Stressed
2022-0455,2022,40-50,Manitoba,91K,19.1,no,No,No,No,Yes,Somewhat manageable,No,Manageable,Comfortable
2022-0456,2022,30-40,Ontario,"41,100",9.8,N,No,N,No,Y,Somewhat difficult,Yes,Difficult,Coping
2022-0457,2022,30-40,Ontario,99300,0.3,No,No,No,No,yes,Somewhat difficult,Y,Difficult,Stressed
2022-0458,2022,40-50,British Columbia,86100,2.6,No,No,No,N,yes,Very difficult,Yes,Difficult,Coping
2022-0459,2022,40-50,british columbia,"$59,800",8.7,No,No,No,No,Yes,Somewhat difficult,No,Very difficult,Stressed
2022-0460,2022,50-65,Ontario,158700,12.7,No,no,No,No,Yes,Neither,Yes,Neither,Coping
2022-0461,2022,30-40,Alberta,"90,500",11.6,No,Y,no,No,No,Somewhat difficult,No,Manageable,Coping
2022-0462,2022,40-50,Ontario,81600,7.4,No,No,No,No,Yes,Somewhat difficult,Yes,Very difficult,Stressed
2022-0463,2022,40-50,Ontario,"167,500",13.7,No,N,No,No,Y,Neither,Yes,Manageable,Comfortable
2022-0464,2022,30-40,Alberta,30000,6.9,NA,NA,NA,NA,NA,Somewhat difficult,N,Difficult,Stressed
2022-0465,2022,18-30,ontario ,"$132,600",26.2,Yes,no,No,No,No,Difficult,N,Very difficult,Coping
2022-0466,2022,18-30,New Brunswick,31K,18.0,No,No,Y,No,N,Neither,No,Neither,Coping
2022-0467,2022,30-40,British Columbia,96100,16.0,no,No,yes,No,N,Manageable,Yes,Neither,Comfortable
2022-0468,2022,40-50,Saskatchewan,72600,7.9,N,No,Yes,No,No,Very difficult,no,Neither,Coping
2022-0469,2022,50-65,Ontario,66K,0.0,no,No,no,No,yes,Manageable,No,Neither,Comfortable
2022-0470,2022,18-30,Ontario,131700,17.4,yes,N,No,No,No,Somewhat manageable,No,Manageable,Coping
2022-0471,2022,30-40,ON,172300,23.5,No,No,Y,No,No,Very manageable,N,Very manageable,Comfortable
2022-0472,2022,30-40,ON,72900,3.3,No,No,No,no,yes,Difficult,NA,Difficult,Stressed
2022-0473,2022,40-50,Newfoundland and Labrador,122K,2.4,No,Y,N,N,No,Somewhat difficult,NA,Manageable,Coping
2022-0474,2022,30-40,alberta,"83,800",0.2,No,Y,No,No,No,NA,No,Difficult,Stressed
2022-0475,2022,30-40,Alberta,169000,21.1,No,No,no,No,yes,Very manageable,No,Difficult,Comfortable
2022-0476,2022,18-30,New Brunswick,30000,17.4,No,No,No,No,Yes,Somewhat manageable,No,NA,Comfortable
2022-0477,2022,40-50,Nova Scotia,117900,15.1,NA,NA,NA,NA,NA,Somewhat difficult,N,Manageable,Coping
2022-0478,2022,30-40,ON,50600,11.5,No,No,N,No,Yes,Somewhat manageable,No,Manageable,Coping
2022-0479,2022,30-40,Northwest Territories and Nunavut,30000,16.8,NA,NA,NA,NA,NA,Very difficult,Yes,Very manageable,Coping
2022-0480,2022,30-40,Ontario,NA,7.8,N,Yes,No,No,No,Somewhat difficult,No,Neither,Stressed
2022-0481,2022,50-65,ON,203400,16.0,No,No,No,N,Yes,Neither,No,Neither,Coping
2022-0483,2022,18-30,british columbia,"114,500",3.6,No,no,No,No,yes,Somewhat manageable,Yes,Very manageable,Coping
2022-0484,2022,50-65,Quebec,172400,4.2,No,Yes,No,No,No,Difficult,Y,Neither,Stressed
2022-0485,2022,40-50,ontario ,"$90,900",25.6,No,Yes,No,No,No,Manageable,Yes,Manageable,Comfortable
2022-0486,2022,40-50,Alberta,108000,15.4,Yes,No,no,No,No,Somewhat difficult,Yes,Manageable,Stressed
2022-0487,2022,40-50,British Columbia,NA,NA,No,No,no,N,Yes,Difficult,Yes,Difficult,Coping
2022-0488,2022,30-40,British Columbia,"$54,200",2.9,No,No,no,N,Yes,Somewhat manageable,Y,Manageable,Stressed
2022-0489,2022,30-40,Ontario,129400,0.0,No,yes,no,No,No,Neither,No,Very manageable,Stressed
2022-0490,2022,40-50,Ontario,"$108,000",10.3,no,N,no,Y,No,Somewhat manageable,N,Neither,Stressed
2022-0491,2022,50-65,Ontario,"$129,400",7.7,No,No,no,No,Yes,Somewhat manageable,No,Difficult,Coping
2022-0492,2022,50-65,Ontario,116K,28.8,No,No,Yes,No,No,Somewhat difficult,N,Difficult,Coping
2022-0493,2022,18-30,British Columbia,"178,600",6.6,No,No,Yes,No,No,Neither,Yes,Very manageable,Coping
2022-0494,2022,50-65,Manitoba,92K,23.6,N,No,No,no,Yes,Neither,N,Manageable,Coping
2022-0495,2022,30-40,Quebec,164300,15.5,N,No,No,No,Y,Very difficult,No,Manageable,Coping
