respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_education,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2017-0242,2017,65,Ontario,"$93,100",24.8,Yes,No,No,No,No,No,Very manageable,No,Manageable,Comfortable
2017-0243,2017,44,Saskatchewan,NA,6.2,no,Yes,No,No,No,No,Difficult,Yes,Somewhat difficult,Stressed
2017-0244,2017,51,Ontario,"$90,800",9.6,Yes,No,No,N,No,No,Somewhat manageable,N,Very manageable,Coping
2017-0245,2017,34,quebec,35100,26.7,No,no,N,Yes,No,No,Somewhat difficult,N,Manageable,Coping
2017-0246,2017,38,Ontario,"$39,300",29.0,N,No,Yes,No,No,No,Very manageable,No,Neither,Comfortable
2017-0247,2017,31,Alberta,46800,18.9,No,No,Y,No,no,No,Very manageable,No,Very difficult,Coping
2017-0248,2017,18,New Brunswick,54600,17.5,No,No,No,No,Yes,no,Somewhat difficult,No,Somewhat difficult,Coping
2017-0249,2017,23,Ontario,"30,000",8.0,No,N,yes,No,No,No,Somewhat manageable,No,Somewhat difficult,Coping
2017-0250,2017,18,Yukon,"48,500",21.7,No,No,Yes,No,No,No,Somewhat manageable,Yes,Neither,Coping
2017-0251,2017,18,Nova Scotia,"$83,800",8.9,Yes,No,No,No,No,No,Somewhat manageable,No,Manageable,Coping
2017-0252,2017,26,Alberta,30000,NA,No,N,N,No,No,yes,Very manageable,NA,Very manageable,Comfortable
2017-0253,2017,56,ontario ,102800,4.2,No,No,yes,No,no,No,Neither,No,Somewhat difficult,Coping
2017-0254,2017,39,Alberta,"114,200",0.0,NA,NA,NA,NA,NA,NA,Somewhat difficult,N,Somewhat difficult,Stressed
2017-0255,2017,55,Ontario,"$95,000",9.6,Yes,No,no,N,No,no,Difficult,Yes,Very difficult,Stressed
2017-0256,2017,45,Ontario,75300,9.1,No,No,No,No,Y,N,Neither,Yes,Neither,Coping
2017-0257,2017,49,Ontario,"133,400",8.1,No,No,No,No,No,Yes,Very manageable,N,Difficult,Comfortable
2017-0258,2017,29,Quebec,"$59,300",10.7,Yes,No,No,No,no,No,Difficult,No,Manageable,Stressed
2017-0259,2017,46,Ontario,127K,18.6,No,Yes,No,No,No,no,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0260,2017,49,Ontario,111400,22.3,no,Yes,No,No,No,No,Somewhat difficult,No,Somewhat difficult,Coping
2017-0261,2017,33,Ontario,64200,6.7,N,no,No,No,Yes,no,Neither,No,Neither,Stressed
2017-0262,2017,47,Ontario,109900,22.1,N,No,No,no,No,Yes,Manageable,No,Manageable,Comfortable
2017-0263,2017,47,Quebec,105100,19.3,No,no,No,Y,No,No,Neither,N,NA,Coping
2017-0264,2017,33,Alberta,105100,13.6,No,N,yes,No,no,no,Difficult,N,Somewhat difficult,Stressed
2017-0265,2017,27,Ontario,"$49,000",19.6,NA,NA,NA,NA,NA,NA,Manageable,No,Neither,Comfortable
2017-0266,2017,26,British Columbia,65200,8.2,NA,NA,NA,NA,NA,NA,Manageable,No,Neither,Stressed
2017-0267,2017,41,Ontario,"$84,700",9.5,No,N,Yes,No,No,No,Somewhat difficult,no,Very difficult,Stressed
2017-0268,2017,44,ontario ,112100,10.8,No,yes,N,No,No,No,NA,No,Neither,Stressed
2017-0269,2017,30,New Brunswick,39K,7.3,No,No,Yes,no,No,No,Neither,No,Difficult,Stressed
2017-0270,2017,40,Alberta,"$115,500",7.4,No,no,No,No,No,Yes,Somewhat difficult,NA,Neither,Stressed
2017-0271,2017,47,British Columbia,109500,14.9,No,No,No,No,No,Yes,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0272,2017,47,Ontario,"$56,000",14.0,No,No,N,No,No,Yes,Difficult,N,Difficult,Stressed
2017-0273,2017,59,BC,"$149,700",10.4,No,No,No,No,No,Yes,Difficult,Yes,Somewhat difficult,Stressed
2017-0274,2017,55,Alberta,"$174,500",24.3,Yes,No,No,No,No,No,Somewhat manageable,N,NA,Coping
2017-0275,2017,28,Quebec,"$97,100",11.7,No,No,Yes,No,No,No,Manageable,No,Somewhat difficult,Coping
2017-0276,2017,60,Ontario,"$157,800",NA,Yes,No,no,no,No,N,Very manageable,No,Neither,Coping
2017-0277,2017,34,British Columbia,"$78,600",17.3,No,No,No,No,N,Yes,Manageable,No,Somewhat manageable,Coping
2017-0278,2017,53,British Columbia,54700,30.0,No,No,No,Yes,No,No,Neither,Y,Neither,Coping
2017-0279,2017,41,Saskatchewan,"31,200",13.7,N,No,yes,N,No,No,Somewhat manageable,N,Very manageable,Comfortable
2017-0280,2017,35,Ontario,"$85,200",NA,Y,no,No,No,No,No,Manageable,NA,Somewhat manageable,Comfortable
2017-0281,2017,18,Ontario,"34,200",10.1,No,No,No,No,No,Yes,Manageable,No,Neither,Stressed
2017-0282,2017,38,British Columbia,54600,10.0,No,N,no,N,No,Yes,Neither,No,Difficult,Stressed
2017-0283,2017,21,British Columbia,54600,17.8,No,No,no,No,No,Yes,Somewhat difficult,Yes,Very difficult,Stressed
2017-0284,2017,52,Alberta,121500,4.7,Yes,No,No,No,No,No,Neither,yes,Very difficult,Stressed
2017-0285,2017,58,Ontario,68400,19.4,No,No,N,N,No,Y,Manageable,Y,Manageable,Coping
2017-0286,2017,30,Alberta,"$56,500",21.0,No,No,No,No,No,Yes,Very manageable,yes,Manageable,Coping
2017-0287,2017,44,Alberta,136300,11.5,no,N,No,N,No,Yes,Neither,N,Somewhat manageable,Stressed
2017-0288,2017,31,Ontario,39200,8.2,No,No,No,N,N,Yes,Neither,No,Somewhat difficult,Coping
2017-0289,2017,32,Saskatchewan,99100,22.4,No,No,No,No,No,Y,Neither,No,Neither,Coping
2017-0290,2017,49,Ontario,84000,14.1,no,No,No,No,N,yes,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0291,2017,40,ON,101K,26.2,No,No,No,No,Yes,No,Manageable,No,Manageable,Comfortable
2017-0292,2017,61,Ontario,149K,9.0,No,No,Y,No,No,No,Somewhat manageable,Yes,Difficult,Stressed
2017-0293,2017,34,New Brunswick,"98,200",23.6,No,No,Yes,No,No,No,Manageable,No,Very manageable,Comfortable
2017-0294,2017,52,British Columbia,130K,7.6,No,N,No,No,No,Yes,Somewhat difficult,No,Difficult,Stressed
2017-0295,2017,41,ON,52000,26.5,NA,NA,NA,NA,NA,NA,Manageable,N,Somewhat difficult,Comfortable
2017-0296,2017,50,New Brunswick,133400,22.2,Yes,No,No,No,N,No,Manageable,No,Very manageable,Comfortable
2017-0297,2017,35,Ontario,51900,16.1,No,Yes,N,No,No,No,Manageable,N,Somewhat manageable,Comfortable
2017-0298,2017,39,quebec,91300,14.7,N,No,No,No,No,Yes,Neither,no,Somewhat manageable,Comfortable
2017-0299,2017,39,Yukon,91200,16.7,No,N,No,No,No,Yes,Very manageable,No,Manageable,Comfortable
2017-0300,2017,30,Alberta,85K,15.3,NA,NA,NA,NA,NA,NA,Neither,NA,Very manageable,Coping
2017-0301,2017,48,Manitoba,107100,21.8,N,No,no,Yes,No,No,Manageable,No,NA,Comfortable
2017-0302,2017,48,Alberta,71700,9.1,No,no,No,No,No,Yes,Difficult,No,Somewhat manageable,Stressed
2017-0303,2017,47,British Columbia,55000,17.0,No,No,No,No,No,Y,Somewhat manageable,No,Neither,Coping
2017-0304,2017,58,British Columbia,"138,200",10.2,Yes,No,No,N,No,No,Somewhat manageable,N,Difficult,Coping
2017-0305,2017,57,Alberta,"$116,100",NA,Y,No,No,No,No,No,Very manageable,No,Somewhat manageable,Comfortable
2017-0306,2017,36,Ontario,113500,12.4,NA,NA,NA,NA,NA,NA,Difficult,No,Neither,Coping
2017-0307,2017,44,Ontario,89700,11.4,Yes,No,No,No,No,No,Very manageable,no,Somewhat difficult,Coping
2017-0308,2017,33,Quebec,32300,16.9,No,No,No,No,Yes,N,NA,NA,Neither,Coping
2017-0309,2017,40,alberta,114K,0.0,No,No,no,No,No,Yes,Difficult,No,Neither,Stressed
2017-0310,2017,33,AB,63400,4.0,N,No,No,No,No,Yes,Difficult,yes,Neither,Stressed
2017-0311,2017,59,Manitoba,123800,19.9,Yes,No,No,no,No,No,Neither,Yes,Somewhat manageable,Coping
2017-0312,2017,44,Alberta,"71,600",NA,No,No,No,No,No,Yes,Manageable,No,Manageable,Coping
2017-0313,2017,37,British Columbia,"$129,800",13.6,No,Yes,No,No,No,N,Difficult,No,Somewhat difficult,Stressed
2017-0314,2017,54,Yukon,"$79,700",23.1,No,no,No,no,No,yes,Neither,No,Neither,Coping
2017-0315,2017,18,BC,41900,11.8,No,Y,No,No,No,No,Somewhat manageable,No,Neither,Coping
2017-0316,2017,18,British Columbia,NA,15.8,No,No,No,No,No,Yes,Manageable,No,Neither,Coping
2017-0317,2017,50,Ontario,67200,20.7,No,No,No,No,No,Yes,Somewhat manageable,No,Difficult,Coping
2017-0318,2017,41,Ontario,"$96,400",11.2,No,Yes,No,no,no,No,Manageable,Yes,Somewhat difficult,Coping
2017-0319,2017,43,Ontario,137900,12.3,N,No,Yes,No,No,No,Difficult,Yes,Difficult,Stressed
2017-0320,2017,24,Manitoba,"$46,300",17.3,No,No,No,N,No,Yes,Very manageable,No,Somewhat manageable,Comfortable
2017-0321,2017,40,Ontario,96900,18.7,Yes,N,no,No,No,No,Somewhat manageable,No,Very manageable,Comfortable
2017-0322,2017,64,Alberta,38K,9.2,Yes,No,No,no,No,N,Somewhat difficult,Yes,Somewhat manageable,Coping
2017-0323,2017,50,New Brunswick,"$98,800",16.1,No,No,Yes,No,No,N,Very manageable,Y,Neither,Coping
2017-0324,2017,42,Ontario,"$78,600",20.9,N,No,No,No,No,Yes,Somewhat difficult,Yes,Neither,Coping
2017-0325,2017,35,Quebec,"$52,900",20.7,No,No,No,No,Yes,No,Neither,No,Manageable,Comfortable
2017-0326,2017,35,Manitoba,NA,6.4,No,No,Y,No,No,No,Somewhat manageable,Yes,Neither,Coping
2017-0327,2017,18,Ontario,"$42,200",14.4,NA,NA,NA,NA,NA,NA,Manageable,No,Somewhat manageable,Comfortable
2017-0328,2017,43,Alberta,84K,16.4,N,N,No,Yes,No,No,NA,No,Somewhat manageable,Coping
2017-0329,2017,50,Alberta,"88,700",25.1,No,No,Yes,No,No,N,Somewhat manageable,N,Difficult,Coping
2017-0330,2017,21,Alberta,"30,000",10.0,No,no,Yes,No,no,No,Neither,NA,Somewhat difficult,Stressed
2017-0331,2017,32,Ontario,"$39,000",11.7,N,No,Yes,No,No,N,Manageable,No,Neither,Coping
2017-0332,2017,26,British Columbia,92800,11.8,NA,NA,NA,NA,NA,NA,Difficult,No,Somewhat manageable,Stressed
2017-0333,2017,28,Ontario,30000,12.6,No,No,N,No,N,Yes,Somewhat manageable,No,Very manageable,Coping
2017-0334,2017,41,Alberta,"$63,500",19.4,Yes,No,No,no,N,No,Very manageable,No,Manageable,Comfortable
2017-0335,2017,18,Other,40000,3.2,No,No,No,N,No,Yes,Difficult,N,Somewhat difficult,Stressed
2017-0336,2017,47,Ontario,"$147,800",NA,no,Yes,No,no,No,No,Somewhat difficult,NA,Somewhat difficult,Coping
2017-0337,2017,49,Alberta,NA,0.0,No,No,Yes,N,No,no,Very difficult,N,Neither,Stressed
2017-0338,2017,37,Alberta,63800,18.8,No,yes,No,No,no,No,Somewhat manageable,N,Manageable,Coping
2017-0339,2017,18,alberta,"91,100",5.7,No,No,No,No,Yes,no,NA,No,Manageable,Stressed
2017-0340,2017,28,Ontario,44800,19.1,N,No,No,No,no,Y,NA,Yes,Very manageable,Comfortable
2017-0341,2017,55,british columbia,137800,16.5,No,Yes,No,no,No,no,Manageable,N,Difficult,Stressed
2017-0342,2017,18,Ontario,30000,17.0,No,Y,N,No,No,No,Somewhat manageable,No,Manageable,Comfortable
2017-0343,2017,36,New Brunswick,"$111,200",17.2,No,Yes,No,No,No,No,Manageable,N,Very manageable,Comfortable
2017-0344,2017,26,Ontario,"$51,800",13.2,No,No,No,No,No,Yes,Somewhat difficult,Y,Somewhat manageable,Coping
2017-0345,2017,50,Ontario,69K,24.9,Yes,No,No,No,No,N,Difficult,No,Manageable,Comfortable
2017-0346,2017,32,ontario ,66500,18.9,No,no,no,No,No,Yes,Very manageable,No,Somewhat manageable,Comfortable
2017-0347,2017,45,Yukon,"100,800",11.0,No,No,Yes,no,No,No,Manageable,Yes,Manageable,Comfortable
2017-0348,2017,47,Alberta,"80,700",3.7,No,Yes,No,No,N,no,Somewhat manageable,N,Difficult,Stressed
2017-0349,2017,62,Ontario,134600,21.7,No,No,No,No,Yes,No,Somewhat manageable,No,NA,Coping
2017-0350,2017,38,Alberta,"$64,500",8.4,No,No,No,Y,No,No,Difficult,No,Somewhat manageable,Stressed
2017-0351,2017,45,Ontario,"$111,100",16.7,Yes,No,No,No,no,N,Neither,Yes,Very manageable,Coping
2017-0352,2017,22,Quebec,71300,6.7,NA,NA,NA,NA,NA,NA,Difficult,no,Somewhat manageable,Stressed
2017-0353,2017,54,ontario ,104K,10.0,Yes,No,N,No,No,No,Manageable,No,Neither,Coping
2017-0354,2017,31,Ontario,58300,24.1,NA,NA,NA,NA,NA,NA,Somewhat manageable,yes,Difficult,Coping
2017-0355,2017,33,British Columbia,79000,12.9,N,N,Yes,No,No,No,Neither,Yes,Somewhat difficult,Coping
2017-0356,2017,40,New Brunswick,"$101,500",11.3,No,N,no,yes,No,N,Somewhat manageable,Yes,Manageable,Coping
2017-0357,2017,21,Manitoba,118400,29.7,no,No,No,No,no,Yes,Very manageable,No,Manageable,Comfortable
2017-0358,2017,43,Ontario,NA,16.9,yes,No,No,N,No,no,Very manageable,No,Very manageable,Comfortable
2017-0359,2017,52,Nova Scotia,132300,10.4,No,No,No,No,No,Yes,Difficult,No,Neither,Coping
2017-0360,2017,44,British Columbia,"183,700",14.1,NA,NA,NA,NA,NA,NA,Very difficult,Yes,Neither,Coping
2017-0361,2017,21,British Columbia,"$72,000",22.0,NA,NA,NA,NA,NA,NA,Neither,No,Manageable,Comfortable
2017-0362,2017,39,British Columbia,98000,9.3,NA,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Difficult,Stressed
2017-0363,2017,49,Manitoba,119600,18.5,no,No,No,No,No,Yes,Somewhat difficult,no,Very manageable,Stressed
2017-0364,2017,18,Alberta,30000,9.7,No,No,No,No,Yes,N,Difficult,no,Neither,Stressed
2017-0365,2017,27,Quebec,52K,0.0,No,No,Yes,N,No,No,Neither,No,Very difficult,Coping
2017-0366,2017,51,Ontario,"86,300",16.0,N,No,Yes,No,No,No,Neither,No,Very difficult,Coping
2017-0367,2017,43,Alberta,108900,22.3,No,No,No,N,No,Yes,Neither,No,Very manageable,Comfortable
2017-0368,2017,45,Ontario,87300,14.3,No,N,No,yes,No,No,NA,NA,Somewhat manageable,Coping
2017-0369,2017,62,Ontario,"122,100",15.5,no,No,No,No,Yes,No,Somewhat manageable,Yes,Somewhat manageable,Coping
2017-0370,2017,46,British Columbia,"126,600",21.8,Yes,no,No,No,N,No,Manageable,No,Manageable,Comfortable
2017-0371,2017,48,Alberta,"$122,900",21.6,N,No,N,N,No,yes,NA,Yes,Somewhat manageable,Comfortable
2017-0372,2017,65,Alberta,118K,11.1,Yes,No,No,No,no,N,Difficult,No,Somewhat manageable,Stressed
2017-0373,2017,37,Alberta,"$60,400",10.7,NA,NA,NA,NA,NA,NA,NA,Yes,Very manageable,Coping
2017-0375,2017,45,Yukon,115700,23.1,no,Yes,No,N,No,No,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0376,2017,45,Alberta,"$44,300",4.4,NA,NA,NA,NA,NA,NA,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0377,2017,34,Ontario,66600,22.7,No,No,No,No,no,Yes,Very manageable,No,Neither,Comfortable
2017-0378,2017,28,Alberta,72000,NA,No,No,No,N,No,Yes,Manageable,NA,Neither,Coping
2017-0379,2017,65,ontario ,145900,14.7,NA,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Manageable,Coping
2017-0380,2017,44,Ontario,"$118,300",8.4,No,No,Y,No,No,No,Somewhat difficult,No,Very difficult,Coping
2017-0381,2017,31,Manitoba,"80,000",11.3,No,No,No,No,No,Yes,Somewhat manageable,No,Neither,Coping
2017-0382,2017,51,Alberta,119100,29.3,No,Yes,No,No,N,No,Manageable,No,Manageable,Comfortable
2017-0383,2017,39,ON,"$85,400",25.3,No,No,No,No,Yes,No,Very manageable,No,Somewhat difficult,Comfortable
2017-0384,2017,37,Yukon,"$60,300",17.4,No,No,N,Yes,No,No,Manageable,No,Manageable,Coping
2017-0385,2017,47,British Columbia,87700,3.4,yes,No,No,No,N,No,Neither,Yes,Very manageable,Coping
2017-0386,2017,24,Alberta,"$61,600",30.0,No,No,No,N,Yes,No,Somewhat manageable,No,Somewhat difficult,Comfortable
2017-0387,2017,44,Alberta,"$90,000",6.8,No,No,No,No,N,Yes,Neither,no,Somewhat difficult,Coping
2017-0388,2017,63,Ontario,62900,30.0,Yes,No,No,No,N,No,Somewhat manageable,No,Very manageable,Comfortable
2017-0389,2017,46,ON,"$82,100",13.1,No,No,No,N,No,Y,Neither,N,Difficult,Stressed
2017-0390,2017,35,Ontario,"$79,200",26.0,No,No,No,No,Yes,No,Very manageable,No,Difficult,Comfortable
2017-0391,2017,34,Ontario,"67,600",8.9,No,Y,no,no,No,No,Neither,N,Very manageable,Coping
2017-0392,2017,35,Quebec,70100,8.8,NA,NA,NA,NA,NA,NA,Neither,No,Manageable,Stressed
2017-0393,2017,37,Ontario,95100,11.2,No,yes,N,No,N,no,NA,Yes,Somewhat manageable,Coping
2017-0394,2017,35,British Columbia,45100,NA,Yes,No,No,no,no,No,Somewhat manageable,No,Neither,Coping
2017-0395,2017,51,Ontario,52700,6.8,No,No,No,no,Yes,No,Difficult,No,Manageable,Stressed
2017-0396,2017,19,british columbia,"$43,100",1.8,Yes,No,No,No,No,No,Somewhat manageable,No,Somewhat manageable,Coping
2017-0397,2017,50,British Columbia,122900,29.9,yes,No,No,No,No,No,Very manageable,Y,Manageable,Comfortable
2017-0398,2017,35,Quebec,"$128,100",7.6,No,No,No,no,No,Yes,Difficult,No,Somewhat manageable,Stressed
2017-0399,2017,45,ON,116000,11.1,Yes,No,N,No,No,N,Somewhat manageable,No,Somewhat manageable,Coping
2017-0400,2017,26,Saskatchewan,"$30,000",10.6,No,N,No,No,No,yes,Manageable,Yes,Neither,Coping
2017-0401,2017,56,New Brunswick,"$102,000",16.2,No,No,No,N,No,Yes,Somewhat difficult,Y,Neither,Coping
2017-0402,2017,55,Ontario,"$115,200",15.7,Yes,N,No,No,No,No,Very manageable,no,Somewhat manageable,Comfortable
2017-0403,2017,52,Ontario,"108,300",6.2,N,N,Yes,N,N,No,Very manageable,No,Somewhat manageable,Comfortable
2017-0404,2017,22,Alberta,74200,10.0,Yes,No,No,no,No,No,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0405,2017,50,British Columbia,72500,25.6,No,No,no,Yes,No,No,Manageable,No,Somewhat manageable,Comfortable
2017-0406,2017,45,Ontario,"$94,400",20.6,Yes,No,N,No,No,No,Manageable,No,Very manageable,Comfortable
2017-0407,2017,21,AB,69100,2.3,NA,NA,NA,NA,NA,NA,Very manageable,No,Somewhat difficult,Stressed
2017-0408,2017,40,Quebec,109800,22.6,No,Yes,No,No,N,No,Manageable,N,Very difficult,Comfortable
2017-0409,2017,44,Alberta,66800,0.7,No,No,No,No,No,Yes,Difficult,No,Difficult,Stressed
2017-0410,2017,47,British Columbia,"85,100",14.8,N,Y,No,No,No,N,Somewhat difficult,No,Neither,Comfortable
2017-0411,2017,42,Ontario,30000,9.5,No,Yes,No,No,N,No,Manageable,N,Manageable,Coping
2017-0412,2017,43,Alberta,"$70,900",19.1,No,No,N,Yes,N,No,Neither,No,Neither,Coping
2017-0413,2017,58,Quebec,"96,300",6.2,No,no,No,Yes,No,No,Difficult,No,Difficult,Stressed
2017-0414,2017,55,Ontario,"$76,900",18.9,NA,NA,NA,NA,NA,NA,Manageable,no,Very manageable,Comfortable
2017-0415,2017,18,Alberta,"57,000",17.8,Yes,N,No,N,No,N,Neither,N,Very difficult,Stressed
2017-0416,2017,36,Ontario,"$77,300",9.8,Yes,No,no,No,No,No,Somewhat difficult,No,Difficult,Stressed
2017-0417,2017,38,Ontario,"30,000",9.7,No,No,Yes,N,No,No,Somewhat manageable,No,Somewhat manageable,Stressed
2017-0418,2017,19,ontario ,60000,19.4,No,No,Yes,No,No,N,Very manageable,No,Manageable,Comfortable
2017-0419,2017,41,Ontario,"$58,700",5.0,No,N,N,No,No,Yes,Manageable,Yes,Somewhat manageable,Stressed
2017-0420,2017,55,ON,122100,6.7,No,no,No,No,No,yes,Very manageable,No,Very manageable,Comfortable
2017-0421,2017,27,Ontario,"$30,000",19.8,N,No,no,no,no,Y,Neither,No,Very manageable,Coping
2017-0422,2017,44,British Columbia,91900,10.2,No,Yes,No,No,No,No,Neither,Yes,Very difficult,Stressed
2017-0423,2017,29,ON,"60,000",7.1,No,N,No,Yes,No,No,Very difficult,Yes,Somewhat manageable,Stressed
2017-0424,2017,32,Saskatchewan,82K,7.3,No,No,No,No,No,Yes,Very manageable,Yes,Neither,Stressed
2017-0425,2017,58,Ontario,116K,18.4,Yes,N,No,No,No,No,Neither,No,Somewhat difficult,Coping
2017-0426,2017,33,Ontario,"$66,800",11.1,No,No,No,N,No,Yes,Very manageable,No,Very manageable,Comfortable
2017-0427,2017,46,New Brunswick,"47,900",5.1,No,No,Yes,No,No,No,Neither,No,Somewhat difficult,Stressed
2017-0428,2017,18,Ontario,30000,14.0,No,N,Yes,No,No,No,Somewhat manageable,Y,Very manageable,Comfortable
2017-0429,2017,62,Yukon,"$100,500",16.9,NA,NA,NA,NA,NA,NA,Neither,No,Neither,Stressed
2017-0430,2017,47,Alberta,"95,300",28.1,No,No,Yes,N,No,No,Difficult,No,Somewhat manageable,Comfortable
2017-0432,2017,47,Ontario,114300,11.4,No,N,Y,No,No,No,Manageable,N,Very manageable,Comfortable
2017-0433,2017,23,Ontario,51100,13.2,Yes,No,No,No,No,No,Neither,No,Neither,Coping
2017-0434,2017,54,Ontario,77000,18.7,Yes,No,No,No,N,N,Manageable,yes,Very difficult,Comfortable
2017-0435,2017,36,Alberta,70700,1.4,No,Yes,No,No,N,No,Somewhat manageable,No,Very difficult,Stressed
2017-0437,2017,34,ON,"$85,700",9.6,Yes,no,No,No,No,no,Somewhat difficult,NA,Difficult,Stressed
2017-0438,2017,33,Ontario,NA,16.8,No,No,N,No,Yes,No,Manageable,No,Somewhat manageable,Coping
2017-0439,2017,48,Ontario,"$76,900",9.8,N,No,No,No,No,Yes,Manageable,N,Somewhat manageable,Coping
2017-0440,2017,43,Ontario,87K,18.3,No,no,Yes,No,No,No,Difficult,N,Somewhat difficult,Coping
2017-0441,2017,48,Ontario,109800,19.3,No,yes,N,No,No,No,Very manageable,No,Manageable,Comfortable
2017-0442,2017,40,Ontario,"84,300",6.6,No,No,Yes,No,No,No,Very difficult,No,Difficult,Stressed
2017-0443,2017,46,Ontario,79000,17.7,N,No,No,No,no,Yes,Somewhat manageable,NA,Very manageable,Coping
2017-0444,2017,35,Ontario,"$31,000",0.0,No,no,no,No,Yes,No,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0445,2017,65,Ontario,107200,16.0,Yes,No,No,N,N,No,Neither,No,Difficult,Stressed
2017-0446,2017,21,Alberta,"30,000",15.1,no,No,No,No,Yes,No,Somewhat difficult,No,Neither,Coping
2017-0447,2017,55,British Columbia,55700,30.0,No,No,Yes,No,No,N,Somewhat manageable,NA,Somewhat manageable,Comfortable
2017-0448,2017,56,ON,"$85,100",7.5,Yes,No,No,No,no,N,Manageable,No,Very manageable,Coping
2017-0449,2017,30,Quebec,39K,3.4,Y,No,No,No,No,No,Difficult,no,Somewhat difficult,Stressed
2017-0450,2017,65,ontario ,"$140,000",7.0,NA,NA,NA,NA,NA,NA,Neither,No,Neither,Coping
2017-0451,2017,52,Alberta,121K,9.3,Yes,No,No,No,No,No,Neither,No,Manageable,Stressed
2017-0452,2017,52,Ontario,"75,900",22.5,Yes,No,No,No,No,N,Very manageable,No,Somewhat difficult,Comfortable
2017-0453,2017,40,British Columbia,"$77,200",11.2,No,yes,No,No,no,No,Somewhat difficult,No,Neither,Coping
2017-0454,2017,37,Ontario,30000,2.9,No,No,No,No,Yes,No,Difficult,Y,Difficult,Stressed
2017-0455,2017,37,Ontario,NA,1.7,No,No,No,Yes,No,No,Manageable,Yes,Neither,Stressed
2017-0456,2017,45,Ontario,"$104,500",7.8,No,No,Y,no,No,No,Somewhat difficult,N,Somewhat difficult,Stressed
2017-0457,2017,57,Ontario,"$135,200",18.7,N,N,Yes,No,No,No,Somewhat difficult,No,Very manageable,Comfortable
2017-0458,2017,42,British Columbia,"66,600",9.9,No,N,No,No,no,Yes,Somewhat difficult,yes,Neither,Coping
2017-0459,2017,29,Nova Scotia,"100,100",30.0,No,No,Y,No,No,no,Manageable,No,Somewhat difficult,Comfortable
2017-0460,2017,50,Other,54500,13.5,No,No,No,No,No,yes,Very manageable,Yes,Manageable,Coping
2017-0461,2017,51,Ontario,64100,21.6,Yes,No,No,no,No,No,Neither,no,Manageable,Coping
2017-0462,2017,48,Ontario,118300,5.3,N,Y,N,No,No,no,Very difficult,No,Neither,Stressed
2017-0463,2017,49,Manitoba,148600,23.7,NA,NA,NA,NA,NA,NA,Manageable,No,Manageable,Comfortable
2017-0464,2017,37,Alberta,95K,13.7,No,No,No,N,No,Yes,Difficult,Yes,Somewhat difficult,Coping
2017-0466,2017,30,Alberta,30000,22.6,N,N,No,No,No,Y,Very manageable,Yes,Very difficult,Coping
2017-0467,2017,20,Manitoba,"$30,000",13.2,No,no,No,Yes,No,No,Somewhat manageable,No,Somewhat difficult,Coping
2017-0468,2017,43,Saskatchewan,93400,27.2,No,No,yes,No,No,no,Somewhat difficult,Yes,Very manageable,Comfortable
2017-0469,2017,39,Ontario,73K,4.2,No,N,No,No,N,Yes,Somewhat difficult,no,Neither,Stressed
2017-0471,2017,18,Alberta,"$54,000",8.8,No,N,Y,No,N,No,Somewhat difficult,N,Difficult,Coping
2017-0472,2017,25,British Columbia,"$66,000",21.4,no,No,No,No,Yes,no,Somewhat manageable,No,Very manageable,Coping
2017-0473,2017,53,Ontario,132800,9.6,No,Yes,No,N,No,N,Somewhat difficult,yes,Difficult,Stressed
2017-0474,2017,32,Manitoba,77100,9.8,Y,No,No,No,No,No,Neither,Yes,Difficult,Stressed
2017-0475,2017,44,Ontario,127900,14.8,NA,NA,NA,NA,NA,NA,Somewhat manageable,No,Difficult,Stressed
2017-0476,2017,23,ON,59700,20.9,No,N,No,no,Yes,No,Somewhat difficult,No,Very difficult,Coping
2017-0477,2017,57,alberta,"107,000",18.6,N,No,N,Yes,No,No,Very manageable,No,Somewhat difficult,Coping
2017-0478,2017,38,Ontario,"$113,900",5.5,No,No,No,N,Yes,No,Somewhat manageable,No,NA,Coping
2017-0479,2017,43,Saskatchewan,NA,9.8,N,No,No,No,Yes,No,Neither,no,Neither,Coping
2017-0480,2017,65,Manitoba,"206,900",8.0,Y,N,No,No,no,No,Manageable,No,Neither,Coping
2017-0481,2017,58,Alberta,123300,18.4,NA,NA,NA,NA,NA,NA,Difficult,N,Somewhat manageable,Coping
2017-0482,2017,36,Quebec,NA,8.9,no,No,No,No,Yes,No,Somewhat difficult,Yes,Neither,Stressed
2017-0483,2017,33,Quebec,90300,5.7,No,No,N,No,No,Yes,Somewhat manageable,Y,Somewhat manageable,Coping
2017-0484,2017,36,Ontario,"$135,300",12.9,No,No,No,Yes,No,No,Neither,Yes,Somewhat manageable,Coping
