respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0277,2022,47,Alberta,88800,6.5,Higher wages,Manageable,No,Neither,Comfortable
2022-0278,2022,65,Ontario,164000,2.0,Work-life balance,Very difficult,No,Very difficult,Stressed
2022-0279,2022,27,Ontario,51100,15.9,Health benefits,Neither,No,Manageable,Coping
2022-0280,2022,38,Ontario,30000,1.3,Higher wages,Neither,Yes,Manageable,Coping
2022-0281,2022,31,Alberta,30000,14.6,Educational funding,Manageable,No,Neither,Coping
2022-0282,2022,30,New Brunswick,85500,21.7,Educational funding,Manageable,Yes,Very difficult,Comfortable
2022-0283,2022,31,Alberta,80100,23.1,Higher wages,Very difficult,Yes,Neither,Coping
2022-0284,2022,50,Saskatchewan,77300,11.2,More time off,Neither,Yes,Difficult,Stressed
2022-0285,2022,34,Alberta,57600,20.5,Health benefits,Very manageable,No,Somewhat difficult,Comfortable
2022-0286,2022,65,Alberta,146900,19.2,More time off,Somewhat manageable,Yes,Difficult,Coping
2022-0287,2022,45,Quebec,167000,14.2,Work-life balance,Very manageable,No,Difficult,Coping
2022-0288,2022,28,British Columbia,33000,8.2,Work-life balance,Manageable,No,Somewhat difficult,Coping
2022-0289,2022,36,Ontario,88400,4.1,Better retirement funding,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0290,2022,30,British Columbia,122900,7.6,Work-life balance,Neither,No,Manageable,Coping
2022-0291,2022,50,Ontario,66200,17.7,Better retirement funding,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0292,2022,20,Alberta,59200,12.1,Work-life balance,Neither,No,Neither,Coping
2022-0293,2022,24,Nova Scotia,64100,0.0,Higher wages,Very manageable,No,Difficult,Coping
2022-0294,2022,33,Ontario,30000,4.9,Work-life balance,Somewhat difficult,Yes,Somewhat manageable,Stressed
2022-0295,2022,48,British Columbia,110400,6.1,Health benefits,Difficult,Yes,Very difficult,Stressed
2022-0296,2022,55,British Columbia,114100,14.3,Higher wages,Very manageable,No,Somewhat difficult,Coping
2022-0297,2022,57,Alberta,143300,20.8,Better retirement funding,Somewhat manageable,Yes,Neither,Coping
2022-0298,2022,46,Ontario,39700,12.1,Educational funding,Somewhat difficult,No,Somewhat manageable,Coping
2022-0299,2022,39,Alberta,89000,11.6,Work-life balance,Very manageable,Yes,Manageable,Comfortable
2022-0300,2022,50,British Columbia,174100,0.0,Better retirement funding,Difficult,No,Somewhat difficult,Stressed
2022-0301,2022,26,British Columbia,172900,15.1,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0302,2022,18,Nova Scotia,121000,11.9,Work-life balance,Manageable,Yes,Neither,Comfortable
2022-0303,2022,45,Ontario,38600,24.1,Work-life balance,Very manageable,Yes,Somewhat manageable,Comfortable
2022-0304,2022,28,New Brunswick,94600,27.8,Work-life balance,Somewhat manageable,No,Neither,Comfortable
2022-0305,2022,39,Quebec,64300,7.2,Work-life balance,Somewhat manageable,No,Neither,Comfortable
2022-0306,2022,41,Ontario,105700,8.8,Work-life balance,Somewhat difficult,No,Very difficult,Stressed
2022-0307,2022,43,Ontario,55900,18.8,Better retirement funding,Manageable,Yes,Very manageable,Coping
2022-0308,2022,51,Ontario,30000,25.1,Higher wages,Somewhat difficult,No,Difficult,Comfortable
2022-0309,2022,50,Alberta,87800,0.0,Work-life balance,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0310,2022,42,Saskatchewan,129100,1.7,Health benefits,Somewhat manageable,No,Manageable,Stressed
2022-0311,2022,35,Ontario,96900,9.0,Health benefits,Very manageable,No,Manageable,Comfortable
2022-0312,2022,41,Ontario,111600,8.6,Health benefits,Difficult,No,Somewhat difficult,Stressed
2022-0313,2022,33,Alberta,90300,13.5,Work-life balance,Neither,No,Somewhat manageable,Coping
2022-0314,2022,38,Alberta,107200,0.0,Higher wages,Somewhat difficult,Yes,Very difficult,Stressed
2022-0315,2022,65,Ontario,154000,9.2,More time off,Somewhat manageable,No,Somewhat manageable,Coping
2022-0316,2022,42,New Brunswick,79300,15.8,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0317,2022,45,Ontario,101600,11.9,Work-life balance,Somewhat manageable,Yes,Very manageable,Coping
2022-0318,2022,32,Manitoba,165200,19.0,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Comfortable
2022-0319,2022,52,Ontario,115100,8.8,Work-life balance,Manageable,No,Neither,Coping
2022-0320,2022,49,Alberta,105600,4.6,Work-life balance,Difficult,No,Neither,Coping
2022-0321,2022,49,Alberta,108600,17.9,Educational funding,Very manageable,No,Somewhat difficult,Comfortable
2022-0322,2022,43,Alberta,83600,18.4,Educational funding,Difficult,No,Neither,Comfortable
2022-0323,2022,52,Ontario,86200,9.1,Better retirement funding,Very difficult,Yes,Neither,Stressed
2022-0324,2022,55,Ontario,122900,9.5,Work-life balance,Difficult,Yes,Difficult,Stressed
2022-0325,2022,43,Saskatchewan,69200,11.5,Health benefits,Somewhat difficult,No,Very manageable,Coping
2022-0326,2022,39,Ontario,81200,25.7,Better retirement funding,Somewhat manageable,No,Neither,Comfortable
2022-0327,2022,51,Ontario,67000,8.8,Better retirement funding,Somewhat manageable,Yes,Neither,Coping
2022-0328,2022,29,Ontario,78900,0.0,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Stressed
2022-0329,2022,31,Ontario,105700,13.9,Higher wages,Neither,No,Neither,Coping
2022-0330,2022,39,Saskatchewan,77900,11.8,Work-life balance,Neither,No,Somewhat manageable,Coping
2022-0331,2022,19,Ontario,30000,14.0,Higher wages,Somewhat difficult,No,Somewhat manageable,Coping
2022-0332,2022,50,Alberta,134500,9.1,Work-life balance,Very manageable,No,Somewhat manageable,Comfortable
2022-0333,2022,28,Ontario,78000,30.0,Better retirement funding,Somewhat difficult,No,Somewhat manageable,Comfortable
2022-0334,2022,34,Alberta,31300,15.3,More time off,Somewhat difficult,No,Neither,Coping
2022-0335,2022,37,Alberta,124200,9.3,Work-life balance,Difficult,No,Neither,Coping
2022-0336,2022,40,Ontario,30000,5.4,Work-life balance,Somewhat difficult,No,Difficult,Coping
2022-0337,2022,36,Ontario,136300,17.5,Work-life balance,Neither,No,Difficult,Coping
2022-0338,2022,39,Alberta,85600,4.4,Health benefits,Difficult,Yes,Neither,Coping
2022-0339,2022,39,Alberta,30000,24.6,More time off,Difficult,No,Manageable,Coping
2022-0340,2022,35,Quebec,91400,7.3,Work-life balance,Manageable,No,Very difficult,Coping
2022-0341,2022,31,Alberta,56200,21.3,Educational funding,Difficult,No,Neither,Coping
2022-0342,2022,53,Alberta,81700,5.1,Work-life balance,Somewhat difficult,No,Difficult,Stressed
2022-0343,2022,18,Ontario,30000,20.5,Health benefits,Neither,No,Neither,Coping
2022-0344,2022,38,Ontario,80600,6.6,Better retirement funding,Manageable,No,Somewhat manageable,Coping
2022-0345,2022,34,Ontario,56700,11.1,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2022-0346,2022,45,Ontario,30000,15.8,Work-life balance,Difficult,Yes,Somewhat manageable,Coping
2022-0347,2022,23,British Columbia,128100,9.3,Work-life balance,Somewhat manageable,No,Neither,Stressed
2022-0348,2022,34,British Columbia,68800,25.7,Work-life balance,Somewhat manageable,No,Difficult,Comfortable
2022-0349,2022,39,Ontario,51900,14.6,Health benefits,Somewhat manageable,Yes,Somewhat manageable,Comfortable
2022-0350,2022,53,Ontario,53100,11.5,Higher wages,Somewhat manageable,No,Somewhat difficult,Coping
2022-0351,2022,44,British Columbia,134500,18.5,NA,Somewhat manageable,No,Manageable,Coping
2022-0352,2022,26,British Columbia,30000,6.8,Health benefits,Somewhat difficult,No,Somewhat manageable,Coping
2022-0353,2022,34,British Columbia,87700,14.4,More time off,Neither,No,Difficult,Coping
2022-0354,2022,51,Alberta,77300,16.5,Work-life balance,Neither,No,Neither,Comfortable
2022-0355,2022,26,British Columbia,42700,7.0,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0356,2022,39,Alberta,33300,6.4,Work-life balance,Somewhat manageable,Yes,Manageable,Stressed
2022-0357,2022,40,Ontario,59000,6.3,More time off,Neither,Yes,Difficult,Coping
2022-0358,2022,35,British Columbia,82900,4.7,Work-life balance,Very manageable,No,Somewhat difficult,Stressed
2022-0359,2022,65,Ontario,139300,11.9,Higher wages,Somewhat difficult,No,Somewhat difficult,Coping
2022-0360,2022,35,Ontario,43200,17.3,Work-life balance,Very manageable,No,Manageable,Comfortable
2022-0361,2022,45,Ontario,93000,13.9,Work-life balance,Somewhat manageable,Yes,Neither,Stressed
2022-0362,2022,31,Saskatchewan,120900,17.1,Better retirement funding,Somewhat manageable,Yes,Somewhat difficult,Coping
2022-0363,2022,46,Manitoba,30000,12.7,Work-life balance,Difficult,No,Somewhat manageable,Coping
2022-0364,2022,50,Alberta,104700,12.7,Work-life balance,Somewhat manageable,Yes,Difficult,Comfortable
2022-0365,2022,33,Ontario,32000,6.1,NA,Difficult,No,Somewhat manageable,Coping
2022-0366,2022,39,Alberta,35900,15.9,NA,Somewhat difficult,Yes,Difficult,Stressed
2022-0367,2022,29,British Columbia,86600,4.9,Work-life balance,Very manageable,No,Neither,Coping
2022-0368,2022,26,Alberta,41700,11.7,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0369,2022,52,Quebec,47200,20.5,Higher wages,Neither,Yes,Somewhat manageable,Comfortable
2022-0370,2022,33,Alberta,145700,9.1,Work-life balance,Somewhat difficult,No,Somewhat difficult,Coping
2022-0371,2022,18,Ontario,103000,1.0,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0372,2022,61,New Brunswick,30000,12.5,Better retirement funding,Manageable,No,Very difficult,Comfortable
2022-0373,2022,30,Ontario,30000,7.7,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Coping
2022-0374,2022,37,British Columbia,115200,2.5,Work-life balance,Neither,No,Somewhat manageable,Stressed
2022-0375,2022,60,Quebec,105800,19.0,Better retirement funding,Difficult,No,Neither,Coping
2022-0376,2022,38,Ontario,162000,17.9,Health benefits,Manageable,Yes,Somewhat manageable,Comfortable
2022-0377,2022,38,New Brunswick,117800,7.9,Educational funding,Neither,No,Neither,Coping
2022-0378,2022,25,British Columbia,82500,6.5,Work-life balance,Very difficult,Yes,Somewhat difficult,Stressed
2022-0379,2022,20,Ontario,30000,15.0,NA,Somewhat manageable,No,Manageable,Coping
2022-0380,2022,38,Ontario,111600,4.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0381,2022,44,Manitoba,32200,16.4,NA,Neither,Yes,Very manageable,Coping
2022-0382,2022,44,British Columbia,161300,3.4,Work-life balance,Somewhat manageable,Yes,Manageable,Coping
2022-0383,2022,34,Alberta,102100,11.9,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Stressed
2022-0384,2022,40,Alberta,48800,10.9,Educational funding,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0385,2022,18,Alberta,97200,17.7,Health benefits,Very manageable,No,Manageable,Comfortable
2022-0386,2022,46,Alberta,211100,2.5,Better retirement funding,Somewhat manageable,Yes,Neither,Stressed
2022-0387,2022,42,Alberta,82100,9.4,Work-life balance,Somewhat difficult,No,Somewhat difficult,Comfortable
2022-0388,2022,64,Ontario,153500,1.0,Better retirement funding,Very manageable,No,Somewhat difficult,Coping
2022-0389,2022,40,Ontario,68400,6.4,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0390,2022,29,Ontario,77800,8.9,Work-life balance,Very difficult,Yes,Neither,Stressed
2022-0391,2022,39,Ontario,30000,1.2,Higher wages,Somewhat difficult,No,Neither,Stressed
2022-0392,2022,36,Ontario,84000,0.0,NA,Very difficult,No,Difficult,Stressed
2022-0393,2022,45,Alberta,99700,5.5,NA,Neither,No,Neither,Coping
2022-0394,2022,40,Ontario,179900,15.3,Work-life balance,Very manageable,Yes,Manageable,Comfortable
2022-0395,2022,25,British Columbia,30000,15.6,Work-life balance,Somewhat manageable,No,Very manageable,Comfortable
2022-0396,2022,20,Ontario,46000,5.4,NA,Somewhat difficult,No,Difficult,Stressed
2022-0397,2022,43,Saskatchewan,158900,11.2,Work-life balance,Difficult,Yes,Difficult,Stressed
2022-0398,2022,57,Quebec,103400,12.2,Work-life balance,Somewhat difficult,No,Difficult,Stressed
2022-0399,2022,41,British Columbia,82900,30.0,Better retirement funding,Very manageable,No,Manageable,Comfortable
2022-0400,2022,50,Ontario,63300,0.0,Higher wages,Difficult,No,Difficult,Stressed
2022-0401,2022,52,Alberta,61400,1.7,Health benefits,Somewhat difficult,Yes,Difficult,Stressed
2022-0402,2022,43,Alberta,30000,15.2,Better retirement funding,Neither,No,Somewhat manageable,Coping
2022-0403,2022,30,Alberta,43500,8.3,Better retirement funding,Somewhat manageable,Yes,Neither,Coping
2022-0404,2022,42,Alberta,43500,10.3,Better retirement funding,Somewhat difficult,No,Difficult,Stressed
2022-0405,2022,54,Ontario,116900,12.2,Better retirement funding,Somewhat manageable,Yes,Somewhat difficult,Coping
2022-0406,2022,46,Manitoba,59600,13.9,Better retirement funding,Difficult,No,Difficult,Stressed
2022-0407,2022,49,Alberta,79500,11.2,Higher wages,Somewhat difficult,No,Difficult,Stressed
2022-0408,2022,34,Yukon,58400,11.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0409,2022,38,Ontario,84600,8.5,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0410,2022,39,Manitoba,62100,17.3,Work-life balance,Manageable,Yes,Difficult,Comfortable
2022-0411,2022,39,Ontario,35400,9.2,Better retirement funding,Manageable,Yes,Manageable,Coping
2022-0412,2022,54,Ontario,115300,7.5,Work-life balance,Somewhat manageable,No,Very manageable,Comfortable
2022-0413,2022,18,Ontario,110400,19.8,Educational funding,Difficult,No,Very difficult,Coping
2022-0414,2022,40,Ontario,96400,15.5,Health benefits,Very manageable,Yes,Somewhat manageable,Coping
2022-0415,2022,39,Quebec,58000,15.6,More time off,Somewhat difficult,No,Difficult,Comfortable
2022-0416,2022,24,British Columbia,59800,18.8,Work-life balance,Manageable,No,Somewhat manageable,Coping
2022-0417,2022,48,Ontario,30000,13.6,NA,Manageable,Yes,Very manageable,Comfortable
2022-0418,2022,31,Alberta,69500,0.0,Work-life balance,Manageable,No,Neither,Coping
2022-0419,2022,36,Ontario,64000,17.0,Work-life balance,Neither,No,Neither,Coping
2022-0420,2022,62,British Columbia,76300,0.0,Health benefits,Neither,No,Somewhat difficult,Stressed
2022-0421,2022,52,British Columbia,70400,9.8,More time off,Somewhat manageable,Yes,Somewhat difficult,Coping
2022-0422,2022,47,Yukon,80000,12.2,Educational funding,Neither,No,Neither,Coping
2022-0423,2022,45,Ontario,147100,20.7,Health benefits,Somewhat manageable,No,Somewhat difficult,Comfortable
2022-0424,2022,38,Alberta,141600,23.9,NA,Very difficult,Yes,Manageable,Comfortable
2022-0425,2022,64,British Columbia,79600,14.5,NA,Somewhat difficult,No,Neither,Coping
2022-0426,2022,50,British Columbia,79100,21.8,Better retirement funding,Very manageable,No,Somewhat difficult,Comfortable
2022-0427,2022,31,Yukon,51900,12.5,Health benefits,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0428,2022,23,New Brunswick,105000,12.8,Health benefits,Somewhat manageable,Yes,Somewhat manageable,Coping
2022-0429,2022,47,British Columbia,107800,0.0,More time off,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0430,2022,39,Ontario,93100,13.8,Health benefits,Difficult,Yes,Somewhat difficult,Stressed
2022-0431,2022,23,Manitoba,91300,0.0,Work-life balance,Very manageable,Yes,Somewhat manageable,Stressed
2022-0432,2022,45,Alberta,67700,4.3,Better retirement funding,Very difficult,Yes,Very difficult,Stressed
2022-0433,2022,37,Ontario,153700,8.8,Better retirement funding,Manageable,No,Somewhat manageable,Comfortable
2022-0434,2022,46,Alberta,98900,2.3,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Stressed
2022-0435,2022,45,Quebec,54700,11.1,Work-life balance,Difficult,No,Difficult,Coping
2022-0436,2022,33,Ontario,68000,7.8,Health benefits,Somewhat difficult,No,Very manageable,Coping
2022-0437,2022,48,Alberta,163600,17.9,More time off,Somewhat manageable,Yes,Neither,Coping
2022-0438,2022,34,Ontario,59700,7.1,Work-life balance,Very difficult,No,Difficult,Stressed
2022-0439,2022,35,Ontario,130000,8.2,Work-life balance,Manageable,No,Difficult,Coping
2022-0440,2022,34,Ontario,49700,10.2,Health benefits,Somewhat manageable,Yes,Very manageable,Coping
2022-0441,2022,54,Ontario,72700,18.3,More time off,Difficult,No,Manageable,Coping
2022-0442,2022,37,Alberta,118500,10.5,Health benefits,Difficult,No,Very difficult,Stressed
2022-0443,2022,56,Alberta,70300,4.2,Higher wages,Difficult,No,Neither,Coping
2022-0444,2022,61,Ontario,162600,2.6,Health benefits,Neither,No,Difficult,Stressed
2022-0445,2022,31,Alberta,94100,13.8,Work-life balance,Neither,No,Somewhat manageable,Coping
2022-0446,2022,18,British Columbia,30000,13.1,NA,Very difficult,No,Neither,Coping
2022-0447,2022,53,Ontario,105900,0.7,Work-life balance,Somewhat difficult,Yes,Very difficult,Stressed
2022-0448,2022,36,Alberta,56600,23.2,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2022-0449,2022,30,Ontario,92400,1.5,Educational funding,Somewhat difficult,No,Somewhat manageable,Stressed
2022-0450,2022,33,Ontario,173900,27.1,Work-life balance,Difficult,No,Neither,Comfortable
2022-0451,2022,35,Ontario,64000,21.7,Educational funding,Difficult,No,Difficult,Comfortable
2022-0452,2022,56,Alberta,140700,4.2,Better retirement funding,Somewhat difficult,Yes,Very manageable,Coping
2022-0453,2022,42,New Brunswick,94200,7.8,More time off,Somewhat manageable,No,Difficult,Coping
2022-0454,2022,55,Ontario,113700,3.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0455,2022,46,Manitoba,90700,19.1,Work-life balance,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0456,2022,36,Ontario,41100,9.8,Work-life balance,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0457,2022,35,Ontario,99300,0.3,More time off,Somewhat difficult,Yes,Difficult,Stressed
2022-0458,2022,47,British Columbia,86100,2.6,Work-life balance,Very difficult,Yes,Difficult,Coping
2022-0459,2022,50,British Columbia,59800,8.7,Work-life balance,Somewhat difficult,No,Very difficult,Stressed
2022-0460,2022,52,Ontario,158700,12.7,Work-life balance,Neither,Yes,Neither,Coping
2022-0461,2022,37,Alberta,90500,11.6,Health benefits,Somewhat difficult,No,Manageable,Coping
2022-0462,2022,42,Ontario,81600,7.4,More time off,Somewhat difficult,Yes,Very difficult,Stressed
2022-0463,2022,47,Ontario,167500,13.7,Work-life balance,Neither,Yes,Manageable,Comfortable
2022-0464,2022,35,Alberta,30000,6.9,NA,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0465,2022,26,Ontario,132600,26.2,Better retirement funding,Difficult,No,Very difficult,Coping
2022-0466,2022,30,New Brunswick,31000,18.0,Health benefits,Neither,No,Neither,Coping
2022-0467,2022,37,British Columbia,96100,16.0,Health benefits,Manageable,Yes,Neither,Comfortable
2022-0468,2022,48,Saskatchewan,72600,7.9,Health benefits,Very difficult,No,Neither,Coping
2022-0469,2022,55,Ontario,66300,0.0,Work-life balance,Manageable,No,Neither,Comfortable
2022-0470,2022,24,Ontario,131700,17.4,Better retirement funding,Somewhat manageable,No,Somewhat manageable,Coping
2022-0471,2022,33,Ontario,172300,23.5,Higher wages,Very manageable,No,Very manageable,Comfortable
2022-0472,2022,36,Ontario,72900,3.3,Work-life balance,Difficult,No,Difficult,Stressed
2022-0473,2022,50,Newfoundland and Labrador,121800,2.4,Health benefits,Somewhat difficult,No,Manageable,Coping
2022-0474,2022,34,Alberta,83800,0.2,Educational funding,Difficult,No,Difficult,Stressed
2022-0475,2022,35,Alberta,169000,21.1,Work-life balance,Very manageable,No,Difficult,Comfortable
2022-0476,2022,23,New Brunswick,30000,17.4,More time off,Somewhat manageable,No,Somewhat difficult,Comfortable
2022-0477,2022,46,Nova Scotia,117900,15.1,NA,Somewhat difficult,No,Somewhat manageable,Coping
2022-0478,2022,38,Ontario,50600,11.5,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2022-0479,2022,32,Northwest Territories and Nunavut,30000,16.8,NA,Very difficult,Yes,Very manageable,Coping
2022-0480,2022,37,Ontario,67500,7.8,Educational funding,Somewhat difficult,No,Neither,Stressed
2022-0481,2022,54,Ontario,203400,16.0,Work-life balance,Neither,No,Neither,Coping
2022-0482,2022,28,Yukon,39200,0.0,More time off,Somewhat manageable,No,Manageable,Coping
2022-0483,2022,30,British Columbia,114500,3.6,Work-life balance,Somewhat manageable,Yes,Very manageable,Coping
2022-0484,2022,55,Quebec,172400,4.2,Health benefits,Difficult,Yes,Neither,Stressed
2022-0485,2022,41,Ontario,90900,25.6,Health benefits,Manageable,Yes,Somewhat manageable,Comfortable
2022-0486,2022,48,Alberta,108000,15.4,Better retirement funding,Somewhat difficult,Yes,Somewhat manageable,Stressed
2022-0487,2022,45,British Columbia,30000,10.0,Work-life balance,Difficult,Yes,Difficult,Coping
2022-0488,2022,40,British Columbia,54200,2.9,Work-life balance,Somewhat manageable,Yes,Somewhat manageable,Stressed
2022-0489,2022,36,Ontario,129400,0.0,Educational funding,Neither,No,Very manageable,Stressed
2022-0490,2022,50,Ontario,108000,10.3,Higher wages,Somewhat manageable,No,Neither,Stressed
2022-0491,2022,54,Ontario,129400,7.7,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0492,2022,53,Ontario,116200,28.8,Higher wages,Somewhat difficult,No,Difficult,Coping
2022-0493,2022,26,British Columbia,178600,6.6,Health benefits,Neither,Yes,Very manageable,Coping
2022-0494,2022,56,Manitoba,92500,23.6,Work-life balance,Neither,No,Manageable,Coping
2022-0495,2022,36,Quebec,164300,15.5,Work-life balance,Very difficult,No,Somewhat manageable,Coping
2022-0496,2022,31,Saskatchewan,83200,0.9,Work-life balance,Difficult,Yes,Manageable,Stressed
2022-0497,2022,38,Ontario,171700,7.2,Work-life balance,Difficult,No,Somewhat difficult,Stressed
2022-0498,2022,50,British Columbia,43800,15.6,More time off,Very difficult,No,Manageable,Coping
2022-0499,2022,46,Alberta,108200,9.6,Educational funding,Manageable,No,Difficult,Coping
2022-0500,2022,37,British Columbia,65800,16.0,Work-life balance,Difficult,No,Difficult,Coping
2022-0501,2022,50,New Brunswick,112000,10.1,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0502,2022,42,British Columbia,154100,22.2,Work-life balance,Very manageable,No,Neither,Comfortable
2022-0503,2022,33,Quebec,98400,5.9,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0504,2022,32,Ontario,139000,4.0,Work-life balance,Somewhat difficult,No,Somewhat manageable,Coping
2022-0505,2022,45,New Brunswick,64000,5.6,Work-life balance,Somewhat difficult,Yes,Very difficult,Stressed
2022-0506,2022,39,British Columbia,47400,12.1,Educational funding,Somewhat manageable,No,Somewhat manageable,Coping
2022-0507,2022,23,Manitoba,65300,0.0,Higher wages,Manageable,No,Difficult,Coping
2022-0508,2022,50,Ontario,103100,12.0,Higher wages,Somewhat difficult,No,Manageable,Coping
2022-0509,2022,34,Ontario,71700,5.5,Better retirement funding,Very difficult,Yes,Difficult,Stressed
2022-0510,2022,59,Alberta,70600,3.2,Better retirement funding,Somewhat manageable,No,Somewhat manageable,Coping
2022-0511,2022,23,Ontario,124400,4.3,NA,Difficult,No,Somewhat difficult,Stressed
2022-0512,2022,38,Alberta,68900,9.1,Health benefits,Somewhat manageable,Yes,Somewhat difficult,Coping
2022-0513,2022,32,British Columbia,149300,15.7,Higher wages,Somewhat difficult,No,Difficult,Stressed
2022-0514,2022,28,Yukon,72600,7.1,Health benefits,Neither,No,Very difficult,Stressed
2022-0515,2022,34,Alberta,113400,17.2,Work-life balance,Very manageable,Yes,Somewhat difficult,Coping
2022-0516,2022,61,Alberta,149400,5.4,Health benefits,Somewhat difficult,No,Difficult,Stressed
2022-0517,2022,42,Ontario,51800,0.0,Work-life balance,Somewhat manageable,Yes,Difficult,Stressed
2022-0518,2022,30,Manitoba,93400,22.7,More time off,Manageable,No,Manageable,Comfortable
2022-0519,2022,18,Alberta,153400,13.4,Better retirement funding,Neither,No,Somewhat difficult,Comfortable
2022-0520,2022,19,Alberta,71100,15.7,More time off,Very manageable,Yes,Somewhat difficult,Comfortable
2022-0521,2022,34,Alberta,126100,4.7,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Coping
2022-0522,2022,32,Ontario,112700,11.4,Work-life balance,Very manageable,No,Neither,Coping
2022-0523,2022,37,British Columbia,100900,25.5,Educational funding,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0524,2022,18,Ontario,66300,10.7,Health benefits,Difficult,No,Neither,Stressed
2022-0525,2022,39,Ontario,115900,20.5,Higher wages,Manageable,No,Neither,Coping
2022-0526,2022,52,Alberta,146200,14.6,Better retirement funding,Very difficult,No,Somewhat difficult,Stressed
2022-0527,2022,59,British Columbia,50900,3.7,Health benefits,Manageable,Yes,Neither,Comfortable
2022-0528,2022,18,Alberta,69400,3.8,Higher wages,Neither,No,Somewhat difficult,Coping
2022-0529,2022,30,British Columbia,65800,0.2,NA,Somewhat difficult,No,Somewhat manageable,Coping
2022-0530,2022,30,British Columbia,55400,14.8,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Coping
2022-0531,2022,42,Ontario,157800,2.5,Work-life balance,Neither,No,Somewhat manageable,Stressed
2022-0532,2022,25,British Columbia,30800,8.1,Work-life balance,Very difficult,No,Neither,Coping
2022-0533,2022,60,Ontario,50300,9.7,Better retirement funding,Somewhat manageable,No,Neither,Coping
2022-0534,2022,41,Ontario,131300,13.3,Work-life balance,Somewhat manageable,No,Neither,Coping
2022-0535,2022,39,Ontario,30000,2.1,Work-life balance,Somewhat manageable,No,Manageable,Coping
2022-0536,2022,59,British Columbia,30000,0.0,Work-life balance,Difficult,No,Somewhat difficult,Stressed
2022-0537,2022,40,British Columbia,135400,11.0,Work-life balance,Very difficult,No,Neither,Coping
2022-0538,2022,45,Saskatchewan,105400,18.2,Work-life balance,Manageable,No,Manageable,Coping
2022-0539,2022,31,British Columbia,100100,5.9,Higher wages,Very difficult,No,Somewhat difficult,Stressed
2022-0540,2022,24,Ontario,43900,12.5,Work-life balance,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0541,2022,33,Ontario,30000,0.0,Health benefits,Very manageable,No,Somewhat difficult,Coping
2022-0542,2022,65,Ontario,68200,16.7,Higher wages,Somewhat difficult,No,Somewhat difficult,Coping
2022-0543,2022,48,British Columbia,88400,12.8,Work-life balance,Somewhat manageable,No,Manageable,Comfortable
2022-0544,2022,43,Alberta,30900,4.1,Work-life balance,Very manageable,No,Somewhat difficult,Coping
2022-0545,2022,28,Ontario,87400,6.0,Work-life balance,Somewhat difficult,Yes,Very difficult,Comfortable
2022-0546,2022,51,Ontario,83400,2.4,Better retirement funding,Somewhat difficult,No,Very difficult,Coping
2022-0547,2022,24,Ontario,75300,5.2,Work-life balance,Neither,No,Very manageable,Coping
2022-0548,2022,21,Ontario,69300,4.8,Educational funding,Neither,Yes,Somewhat difficult,Stressed
2022-0549,2022,33,Quebec,98800,0.0,Work-life balance,Somewhat manageable,No,Somewhat difficult,Stressed
2022-0550,2022,63,Saskatchewan,149500,12.1,More time off,Somewhat manageable,No,Manageable,Coping
2022-0551,2022,63,Ontario,107300,4.8,Better retirement funding,Manageable,Yes,Difficult,Stressed
2022-0552,2022,35,Alberta,91700,17.1,Work-life balance,Very difficult,Yes,Neither,Stressed
